long_name,short_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_position,nationality_name,nation_position,skill_moves,international_reputation,work_rate,player_tags,shooting,passing,dribbling,defending,physic,attacking_crossing,skill_ball_control,movement_sprint_speed,movement_agility,movement_reactions,power_stamina,power_strength,mentality_aggression,goalkeeping_diving,goalkeeping_reflexes
김수범 金秀范,Kim Soo Beom,"LM, RB",64,64,575000,1000,30,174,66,Suwon FC,Korean K League 1,SUB,Korea Republic,,2,1,Medium/Medium,,51,61,65,60,68,59,63,77,75,59,77,63,64,9,14
Kristoffer Knudsen Larsen,K. Larsen,"RW, LW",64,64,575000,2000,29,183,74,Odds BK,Norwegian Eliteserien,SUB,Norway,,3,1,Medium/Medium,,61,57,68,36,58,60,66,69,79,60,67,62,38,10,8
Gabriel Nicolás Mezquida Sero,N. Mezquida,"CAM, ST",64,64,575000,2000,29,168,68,Colorado Rapids,USA Major League Soccer,SUB,Uruguay,,3,1,High/Low,,60,62,71,35,45,59,68,40,84,64,35,50,48,9,9
신세계 申西桂,Sin Se Gye,"CB, RB",64,64,475000,2000,30,178,74,Gangwon FC,Korean K League 1,RCB,Korea Republic,,2,1,Medium/Medium,,58,65,63,62,72,63,61,84,84,64,71,73,70,9,14
Scott Wootton,S. Wootton,CB,64,64,500000,2000,29,188,78,Morecambe,English League One,RCB,England,,2,1,Medium/Medium,,25,47,55,64,73,45,58,53,59,54,69,79,63,15,12
Ellis Wade Harrison,E. Harrison,ST,64,65,675000,4000,27,180,79,Portsmouth,English League One,SUB,Wales,,3,1,High/High,,61,51,64,41,80,54,62,79,74,60,75,82,80,11,12
Julian Wießmeier,J. Wießmeier,"CAM, RM, RWB",64,64,600000,3000,28,171,71,SV Ried,Austrian Football Bundesliga,RWB,Germany,,3,1,Medium/Medium,,59,60,68,35,57,56,67,73,80,61,63,57,44,15,8
Cody Cropper,C. Cropper,GK,64,66,500000,2000,28,193,91,FC Cincinnati,USA Major League Soccer,SUB,United States,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,11,23,37,40,58,28,57,25,67,66
Christian Nikolaj Sørensen,C. Sørensen,LB,64,64,525000,3000,28,179,67,Viborg FF,Danish Superliga,LB,Denmark,,2,1,High/Medium,,56,60,64,56,62,64,62,78,81,56,77,55,60,13,15
Christopher Kane,C. Kane,ST,64,65,700000,2000,26,181,76,St. Johnstone FC,Scottish Premiership,SUB,Scotland,,2,1,High/High,,59,49,62,41,79,44,65,76,70,58,76,79,84,11,16
Anthony Dean O'Connor,A. O'Connor,"CB, RB",64,64,500000,2000,28,188,77,Morecambe,English League One,LCB,Republic of Ireland,,2,1,Medium/Medium,,44,56,56,61,81,51,54,66,65,61,84,84,70,11,10
Janek Sternberg,J. Sternberg,"LB, LM",64,64,525000,1000,28,182,77,Hallescher FC,German 3. Bundesliga,SUB,Germany,,3,1,High/Medium,,48,59,61,59,71,61,60,71,68,64,81,68,70,15,9
Pascal Breier,P. Breier,"ST, RM, LM",64,64,575000,3000,29,185,77,F.C. Hansa Rostock,German 2. Bundesliga,SUB,Germany,,3,1,High/High,,63,58,64,32,71,59,65,69,68,65,83,72,54,8,11
Rhys Gordon Bennett,R. Bennett,CB,64,64,500000,2000,29,191,76,Gillingham,English League One,SUB,England,,2,1,Medium/Medium,,39,53,53,63,78,53,54,64,46,60,80,83,65,10,15
Simon Robert Kroon,S. Kroon,"RM, ST, LM",64,64,600000,1000,28,183,73,Östersunds FK,Swedish Allsvenskan,SUB,Sweden,,3,1,High/Low,,57,59,64,41,56,56,61,86,79,63,61,58,44,9,15
Jesús Manuel Meza Moreno,J. Meza,"CM, RM, CAM",64,64,230000,500,35,165,60,Academia Puerto Cabello,Venezuelan Primera División,CAM,Venezuela,,3,1,High/Medium,,64,60,68,55,48,45,66,77,78,60,78,38,35,10,11
Jacob Toppel Schoop,J. Schoop,CM,64,64,450000,3000,32,176,68,Vejle Boldklub,Danish Superliga,LCM,Denmark,,2,1,High/High,,55,63,63,61,67,54,64,64,71,68,73,66,59,11,10
Mehdi Jeannin,M. Jeannin,GK,64,64,400000,1000,30,187,81,FC Sochaux-Montbéliard,French Ligue 2,SUB,Algeria,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,15,22,50,37,55,27,71,19,66,66
Damian Zbozień,D. Zbozień,RB,64,64,400000,2000,32,186,80,Wisła Płock,Polish T-Mobile Ekstraklasa,SUB,Poland,,2,1,High/Medium,,52,57,60,61,75,53,58,66,66,59,80,74,68,13,14
Nicholas Ansell,N. Ansell,CB,64,64,550000,1000,27,186,80,Adelaide United,Australian Hyundai A-League,RCB,Australia,,2,1,Low/Medium,,29,48,44,63,80,37,49,33,60,56,82,89,63,8,12
Baptiste Valette,B. Valette,GK,64,65,475000,2000,28,185,80,AS Nancy Lorraine,French Ligue 2,SUB,France,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,13,19,45,33,56,37,62,25,65,67
Ogou Edmond Akichi,E. Akichi,"CDM, CM",64,64,400000,2000,31,178,75,AS Nancy Lorraine,French Ligue 2,SUB,Côte d'Ivoire,,3,1,Medium/Medium,,50,58,65,62,69,54,64,65,72,62,81,63,66,13,9
Alexander Juel Andersen,A. Andersen,"CB, RB",64,64,475000,3000,30,189,84,Odense Boldklub,Danish Superliga,LCB,Denmark,,2,1,Medium/Medium,,48,55,60,63,72,58,63,70,67,57,74,72,70,10,12
Bradley Diallo,B. Diallo,CB,64,64,475000,2000,30,183,78,FC U Craiova 1948,Romanian Liga I,LCB,France,,2,1,Medium/Medium,,30,49,55,61,75,58,56,60,52,58,76,73,75,12,10
Vieux Yaya Sané,V. Sané,CB,64,64,400000,1000,31,191,83,SK Brann,Norwegian Eliteserien,SUB,Senegal,,2,1,Medium/Medium,#Strength,47,52,54,61,77,43,56,58,54,56,55,92,71,12,11
Jordan Robert Turnbull,J. Turnbull,CB,64,66,650000,5000,26,185,72,Salford City,English League Two,SUB,England,,2,1,Medium/Medium,,27,45,51,63,74,36,52,62,65,60,74,77,62,11,14
Christophe Vincent,C. Vincent,"CM, CDM, RM",64,64,575000,2000,28,178,74,SC Bastia,French Ligue 2,RCM,France,,2,1,Medium/Medium,,50,63,64,54,62,60,66,68,69,62,74,57,61,7,11
Hannes Þór Halldórsson,H. Halldórsson,GK,64,64,NA,NA,37,193,88,,,,Iceland,SUB,1,1,Medium/Medium,,NA,NA,NA,NA,NA,15,14,40,24,59,28,67,24,65,62
Maksym Koval,M. Koval,GK,64,66,500000,5000,28,189,79,Al Fateh,Saudi Abdul L. Jameel League,GK,Ukraine,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,12,24,38,35,59,38,69,18,65,66
Paul Andrew Digby,P. Digby,"CDM, CM",64,67,700000,2000,26,195,70,Cambridge United,English League One,RDM,England,,2,1,Medium/High,,52,58,56,61,76,52,60,40,50,59,75,83,63,7,14
James William Bolton,J. Bolton,"RB, CB",64,65,625000,3000,26,180,75,Plymouth Argyle,English League One,SUB,England,,2,1,Medium/Medium,,35,52,57,60,71,55,56,74,72,57,73,73,65,13,7
Louis Thompson,L. Thompson,CM,64,67,750000,3000,26,180,75,Portsmouth,English League One,SUB,Wales,,3,1,High/High,,50,62,66,62,69,58,65,62,74,61,75,65,75,12,7
Nick DeLeon,N. DeLeon,"RM, LM, CAM",64,64,575000,2000,30,178,77,Toronto FC,USA Major League Soccer,SUB,United States,,3,1,Medium/Medium,,62,63,64,57,72,63,64,63,69,60,68,74,70,8,14
Matthew Tyler Lampson,M. Lampson,GK,64,64,300000,2000,31,191,91,Columbus Crew,USA Major League Soccer,RES,United States,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,18,38,43,39,57,23,77,35,62,65
Dominic James Samuel,D. Samuel,"ST, RW",64,65,675000,2000,27,182,89,Ross County FC,Scottish Premiership,SUB,England,,3,1,Medium/Low,,62,52,65,38,72,49,65,74,64,58,68,76,67,15,6
Callum Reilly,C. Reilly,CM,64,64,625000,4000,27,185,80,Leyton Orient,English League Two,SUB,Republic of Ireland,,2,1,High/High,,61,63,64,64,78,61,63,61,67,62,85,74,81,8,9
Abdullah Fareed Al Hafith,A. Al Hafith,CB,64,64,500000,8000,28,188,80,Al Ittihad,Saudi Abdul L. Jameel League,SUB,Saudi Arabia,,2,1,Low/High,,36,49,45,63,77,36,51,33,64,60,77,78,74,16,7
황순민 金胜敏,Hwang Soon Min,"LM, CM",64,64,575000,2000,30,178,69,Daegu FC,Korean K League 1,LM,Korea Republic,,2,1,Medium/Medium,,59,62,64,54,63,52,57,82,75,57,75,58,54,12,9
Dom Dwyer,D. Dwyer,ST,64,64,575000,2000,30,175,82,Toronto FC,USA Major League Soccer,SUB,United States,,3,1,High/Low,,66,51,64,32,66,52,60,69,71,62,46,69,79,11,11
Michał Mak,M. Mak,"RM, CF, LM",64,64,575000,1000,29,174,63,Górnik Łęczna,Polish T-Mobile Ekstraklasa,RF,Poland,,3,1,High/Medium,,62,59,64,27,48,61,61,86,87,54,63,43,33,12,11
Mateusz Mak,M. Mak,"RM, CF",64,64,575000,1000,29,176,68,PGE FKS Stal Mielec,Polish T-Mobile Ekstraklasa,RF,Poland,,3,1,High/Medium,#Acrobat,61,59,66,44,56,57,63,82,91,58,53,55,56,7,13
Wesley Jobello,W. Jobello,"RW, RM",64,64,625000,6000,27,183,68,Coventry City,English League Championship,RES,France,,3,1,Medium/Medium,,62,60,65,26,58,63,65,74,62,58,55,63,46,16,12
Soma Zsombor Novothny,S. Novothny,ST,64,65,675000,6000,27,185,84,VfL Bochum 1848,German 1. Bundesliga,SUB,Hungary,,2,1,High/Medium,,64,41,57,27,70,26,66,54,53,60,53,79,66,5,13
Francisco Santos da Silva Júnior,Francisco Júnior,"CDM, CM",64,64,500000,2000,29,172,65,Gaz Metan Mediaş,Romanian Liga I,RES,Guinea Bissau,,3,1,Medium/High,,54,56,65,58,69,46,63,72,82,61,81,55,84,10,12
Kent-Are Antonsen,K. Antonsen,"CM, CB",64,67,750000,1000,26,172,70,Tromsø IL,Norwegian Eliteserien,RES,Norway,,3,1,Medium/High,,63,58,66,63,78,53,64,81,78,63,84,77,74,7,12
Fredrik Torsteinbø,F. Torsteinbø,"CM, RB",64,64,550000,1000,30,182,74,Viking FK,Norwegian Eliteserien,SUB,Norway,,3,1,High/Medium,,63,64,66,54,70,62,65,64,75,61,71,72,66,9,13
Kolja Pusch,K. Pusch,"CAM, LM",64,64,600000,2000,28,181,76,MSV Duisburg,German 3. Bundesliga,RM,Germany,,2,1,Medium/Medium,,64,63,65,54,66,55,66,66,74,65,76,66,54,10,11
Marc Lais,M. Lais,"CDM, CM",64,64,500000,2000,30,182,69,SV Wehen Wiesbaden,German 3. Bundesliga,RES,Germany,,3,1,Medium/Medium,,55,59,65,61,65,53,64,78,76,65,74,58,66,8,12
Jordan Alan Moore-Taylor,J. Moore-Taylor,CB,64,66,625000,5000,27,180,83,Forest Green Rovers,English League Two,SUB,England,,2,1,Medium/High,,36,57,56,62,76,56,54,68,63,55,75,80,64,6,9
Florian Stritzel,F. Stritzel,GK,64,67,575000,2000,27,197,92,SV Wehen Wiesbaden,German 3. Bundesliga,GK,Germany,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,8,12,36,31,56,27,71,22,69,64
Alassane N'Diaye,A. Ndiaye,"RM, LM, CAM",64,64,575000,2000,30,179,67,AC Ajaccio,French Ligue 2,SUB,France,,3,1,Medium/Medium,#Acrobat,60,53,68,27,60,55,64,90,92,56,71,62,34,8,6
Drey Jermaine Wright,D. Wright,RM,64,64,650000,2000,26,175,69,Hibernian,Scottish Premiership,SUB,England,,3,1,High/High,,56,58,65,51,63,63,63,76,77,57,72,66,44,13,9
Patrick Wiegers,P. Wiegers,GK,64,64,300000,3000,31,188,87,SG Dynamo Dresden,German 2. Bundesliga,RES,Germany,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,12,18,42,36,58,28,74,28,64,67
Blair Sebastian Turgott,B. Turgott,"ST, LM, RM",64,64,625000,1000,27,183,65,Östersunds FK,Swedish Allsvenskan,RS,Jamaica,,3,1,High/Medium,,64,54,68,23,61,61,67,76,71,65,69,61,53,14,8
Thomas Vincensini,T. Vincensini,GK,64,67,575000,1000,27,184,79,SC Bastia,French Ligue 2,GK,France,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,14,19,54,37,61,19,57,25,64,63
Janoi Donacien,J. Donacien,"RB, CB",64,65,625000,3000,27,183,75,Ipswich Town,English League One,SUB,Saint Lucia,,2,1,Medium/High,,34,49,55,62,72,55,55,78,62,60,67,75,70,13,14
Brendan Joel Zibusiso Galloway,B. Galloway,"LB, CB",64,68,750000,3000,25,186,74,Plymouth Argyle,English League One,LCB,Zimbabwe,,2,1,Medium/Medium,,37,54,60,63,64,55,61,70,70,62,54,70,62,6,8
Anthony Caceres,A. Caceres,"CAM, CM, RM",64,64,600000,3000,28,173,67,Sydney FC,Australian Hyundai A-League,SUB,Australia,,3,1,Medium/Medium,,58,64,65,58,69,59,64,67,72,59,74,65,71,10,15
Yroundu Musavu-King,Y. Musavu-King,CB,64,65,550000,700,29,186,83,Bengaluru FC,Indian Super League,LCB,Gabon,,2,1,Low/Medium,,35,47,50,63,75,46,55,39,31,58,63,83,67,14,12
Mansour Althaqfi Al Harbi,M. Al Harbi,LB,64,64,300000,4000,33,175,75,Al Raed,Saudi Abdul L. Jameel League,SUB,Saudi Arabia,,3,1,Medium/Medium,,45,59,61,60,66,64,63,72,68,60,72,65,61,12,11
Ibrahim Salem Ali Al-Zubaidi,I. Al Zubaidi,LB,64,64,425000,5000,31,172,60,Al Tai,Saudi Abdul L. Jameel League,SUB,Saudi Arabia,,2,1,High/Medium,,33,56,64,58,67,65,64,70,76,58,69,66,66,8,8
Connor Chapman,C. Chapman,"CDM, CM, CB",64,64,575000,1000,26,188,83,FC Seoul,Korean K League 1,RES,Australia,,2,1,Medium/Medium,,48,50,57,63,72,30,61,58,54,61,72,76,69,8,15
Dennis Iapichino,D. Iapichino,LB,64,64,500000,5000,30,184,75,FC Sion,Swiss Super League,SUB,Switzerland,,2,1,High/Medium,,50,56,62,59,59,60,61,76,66,67,60,61,53,16,14
Jordan Roy Tillson,J. Tillson,"CDM, CM",64,64,525000,2000,28,183,70,Ross County FC,Scottish Premiership,RDM,England,,2,1,Medium/High,,45,56,60,61,74,47,61,52,69,57,81,73,68,9,9
Philipp Erhardt,P. Erhardt,"CDM, CM",64,65,600000,2000,27,185,69,TSV Egger Glas Hartberg,Austrian Football Bundesliga,SUB,Austria,,2,1,Medium/High,,42,53,61,62,76,48,65,40,66,52,76,77,72,7,16
Abdulaziz Al Jebreen,A. Al Jebreen,CDM,64,64,400000,8000,31,178,73,Al Ittihad,Saudi Abdul L. Jameel League,SUB,Saudi Arabia,,2,1,Medium/Medium,,58,63,62,63,67,61,64,42,57,61,51,75,67,13,14
Faisal Darwish Faraj,F. Darwish,"RB, RM",64,64,525000,6000,29,176,63,Al Taawoun,Saudi Abdul L. Jameel League,RES,Saudi Arabia,,3,1,High/Medium,,56,59,65,58,68,61,65,76,73,57,71,72,55,9,15
Wladimiro Falcone,W. Falcone,GK,64,69,675000,3000,26,195,85,U.C. Sampdoria,Italian Serie A,SUB,Italy,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,17,20,28,33,47,28,62,15,65,68
Mohammed Abdullah Abusabaan,M. Abusabaan,"CDM, CM",64,64,400000,5000,31,180,76,Al Taawoun,Saudi Abdul L. Jameel League,SUB,Saudi Arabia,,3,1,Medium/Low,,54,62,65,59,73,57,64,66,70,60,72,71,80,10,10
Abdullah Al Fahad,A. Al Fahad,CB,64,67,675000,4000,27,176,73,Al Raed,Saudi Abdul L. Jameel League,SUB,Saudi Arabia,,2,1,Medium/Medium,,46,54,55,63,72,38,58,70,72,64,84,70,58,6,16
Bismark Adjei-Boateng,B. Adjei-Boateng,"CM, CDM, RB",64,64,625000,4000,27,180,73,CFR Cluj,Romanian Liga I,RES,Ghana,,2,1,Medium/High,,62,55,63,63,77,43,66,76,71,60,80,78,72,14,13
Mohammed Al Amri,M. Al Amri,"LB, LM",64,64,525000,4000,29,178,72,Al Faisaly,Saudi Abdul L. Jameel League,LB,Saudi Arabia,,3,1,High/Medium,,49,60,67,57,67,66,64,71,77,58,73,66,59,16,8
Nawaf Al Subhi,N. Al Subhi,CB,64,64,400000,5000,31,180,74,Al Taawoun,Saudi Abdul L. Jameel League,LCB,Saudi Arabia,,2,1,High/Medium,,46,50,48,63,75,54,45,62,54,59,72,77,71,11,15
Joe Samuel Ironside,J. Ironside,ST,64,65,675000,3000,27,183,75,Cambridge United,English League One,ST,England,,2,1,High/Low,,62,49,60,41,80,47,64,66,55,61,76,85,71,14,7
Callum Jeffrey McFadzean,C. McFadzean,"LB, LWB",64,65,625000,3000,27,181,75,Crewe Alexandra,English League One,SUB,Scotland,,3,1,High/Medium,,54,60,62,58,59,65,61,76,67,57,70,59,45,11,6
Enzo Alan Zidane Fernández,E. Zidane,"CAM, CM, CDM",64,67,775000,1000,26,184,78,Rodez Aveyron Football,French Ligue 2,SUB,France,,3,1,Medium/Medium,,61,64,68,32,52,59,68,59,69,58,58,60,27,7,9
Aketchi Luc-Martin Kassi,L. Kassi,"CM, LW",64,65,675000,1000,26,179,74,Stabæk Fotball,Norwegian Eliteserien,RES,Côte d'Ivoire,,3,1,Medium/Medium,,61,64,67,55,67,59,66,74,82,59,63,72,58,11,6
Alan Maximiliano Aguirre,A. Aguirre,"CB, RB",64,66,625000,500,27,182,89,Guayaquil City FC,Ecuadorian Serie A,RCB,Argentina,,2,1,Low/Medium,,33,50,58,64,69,50,62,60,56,55,70,71,60,12,13
Mark O'Hara,M. O'Hara,"CM, CDM, CB",64,67,775000,2000,25,183,73,Motherwell,Scottish Premiership,SUB,Scotland,,2,1,High/High,,59,61,65,61,72,55,66,71,64,62,79,74,55,14,7
Timmy Dennis Mario Thiele,T. Thiele,"ST, RM",64,64,575000,2000,29,188,84,Viktoria Köln,German 3. Bundesliga,SUB,Germany,,2,1,High/Medium,,62,52,62,22,65,54,62,85,64,64,75,75,30,15,11
Philemon Ofosu-Ayeh,P. Ofosu-Ayeh,"RB, RWB",64,64,525000,1000,29,181,81,Halmstads BK,Swedish Allsvenskan,SUB,Ghana,,3,1,Medium/Medium,,47,55,65,61,70,53,63,79,69,60,62,77,63,13,8
Toni Lindenhahn,T. Lindenhahn,"RM, CAM, CB",64,64,575000,1000,30,177,79,Hallescher FC,German 3. Bundesliga,SUB,Germany,,3,1,Medium/Medium,,59,60,65,59,74,60,62,75,81,63,84,66,78,13,15
Seán Hoare,S. Hoare,"CB, RB",64,67,675000,950,27,189,75,Shamrock Rovers,Rep. Ireland Airtricity League,SUB,Republic of Ireland,,2,1,Medium/Medium,,35,50,56,63,71,51,58,52,49,63,68,73,66,8,10
Adrián Javier Bone Sánchez,A. Bone,GK,64,64,300000,500,32,186,76,CS Emelec,Ecuadorian Serie A,SUB,Ecuador,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,21,21,30,31,61,23,47,21,62,64
Saeed Fawaz Al Mowalad,S. Al Muwallad,RB,64,64,500000,6000,30,184,74,Ettifaq FC,Saudi Abdul L. Jameel League,RB,Saudi Arabia,,2,1,Medium/Medium,,54,57,61,58,71,59,62,75,70,61,72,74,68,11,11
Mikael Norø Ingebrigtsen,M. Ingebrigtsen,"RW, ST, RM",64,67,800000,1000,24,170,68,Tromsø IL,Norwegian Eliteserien,SUB,Norway,,3,1,Medium/Low,#Acrobat,62,54,67,42,51,54,64,79,91,55,68,40,49,15,9
Karol Angielski,K. Angielski,ST,64,67,775000,1000,25,177,70,Radomiak Radom,Polish T-Mobile Ekstraklasa,RS,Poland,,3,1,Medium/Medium,,62,53,63,26,69,42,60,70,79,59,71,73,52,7,9
Scott Caldwell,S. Caldwell,"CDM, CM",64,64,500000,2000,30,173,68,New England Revolution,USA Major League Soccer,SUB,United States,,2,1,Medium/High,,54,59,61,60,70,50,62,31,58,62,65,72,73,13,12
박정빈 Jung Bin Park,Park Jung Bin,"LM, ST",64,64,625000,2000,27,175,73,FC Seoul,Korean K League 1,SUB,Korea Republic,,4,1,Medium/Medium,,60,59,64,38,46,59,65,82,85,54,56,43,41,13,8
Jamille Antonio Matt,J. Matt,ST,64,64,500000,5000,31,194,92,Forest Green Rovers,English League Two,RS,Jamaica,,2,1,High/High,#Strength,63,51,59,26,82,40,63,55,50,63,75,91,68,11,12
Bartosz Kwiecień,B. Kwiecień,"CDM, CB",64,67,675000,2000,27,189,88,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,RES,Poland,,2,1,Medium/Medium,,53,54,55,60,80,38,58,69,59,61,71,85,80,14,14
Stefan Mauk,S. Mauk,"CM, CAM",64,66,725000,1000,25,176,71,Adelaide United,Australian Hyundai A-League,CAM,Australia,,3,1,High/Medium,,59,62,67,54,73,60,67,76,75,61,78,72,72,9,9
Zach Paul John Clough,Z. Clough,"CAM, LM, ST",64,65,700000,3000,26,170,64,Carlisle United,English League Two,SUB,England,,3,1,Medium/Low,,63,63,68,38,35,64,65,67,85,59,33,34,34,10,6
Kekuta Manneh,K. Manneh,"RW, LW",64,64,650000,2000,26,175,64,Austin FC,USA Major League Soccer,SUB,United States,,4,1,High/Medium,#Speedster,60,58,66,34,59,51,61,89,84,59,55,62,53,9,9
Scott Galloway,S. Galloway,"RB, LB",64,65,625000,3000,26,172,72,Melbourne City FC,Australian Hyundai A-League,SUB,Australia,,2,1,High/Low,,40,54,62,58,66,61,60,72,71,60,71,71,45,12,8
Patrick Banggaard Jensen,P. Banggaard,CB,64,65,600000,3000,27,196,84,SønderjyskE,Danish Superliga,SUB,Denmark,,2,1,Medium/Medium,,38,47,44,65,72,39,58,54,34,60,72,80,55,8,14
Antoine Conte,A. Conte,"RB, CB",64,65,625000,3000,27,179,73,Universitatea Craiova,Romanian Liga I,RES,Guinea,,2,1,Medium/Medium,,32,58,58,62,72,59,63,66,65,47,74,71,70,12,13
Conor Dominic Geoffrey Wilkinson,C. Wilkinson,"ST, RM, RW",64,65,700000,5000,26,191,77,Walsall,English League Two,SUB,Republic of Ireland,,3,1,High/Medium,,64,58,64,32,74,58,62,76,72,60,82,74,67,7,6
Aaron Joseph McGowan,A. McGowan,RB,64,69,825000,4000,24,175,80,Northampton Town,English League Two,RB,England,,2,1,High/High,,37,54,61,60,66,60,60,68,72,58,72,66,55,15,6
이으뜸 李奥登,Lee Eu Ddeum,LB,64,64,425000,1000,31,177,73,GwangJu FC,Korean K League 1,SUB,Korea Republic,,2,1,Medium/Medium,,51,62,64,57,70,68,64,74,70,58,76,70,62,15,6
Seong-Joon Jo,Jo Sung Joon,"RW, CM",64,64,575000,2000,30,176,67,Jeju United FC,Korean K League 1,RES,Korea Republic,,2,1,High/Low,,56,53,67,31,57,54,65,80,81,55,65,52,53,15,12
Connor Pain,C. Pain,"LW, LB",64,64,625000,950,27,175,68,Western United FC,Australian Hyundai A-League,LW,Australia,,2,1,Medium/Medium,#Acrobat,62,54,66,54,69,62,60,87,92,54,85,63,61,9,13
Lawrence Ian Vigouroux,L. Vigouroux,GK,64,66,525000,3000,27,194,77,Leyton Orient,English League Two,GK,Chile,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,20,16,42,56,60,36,63,24,64,64
Clinton Robert Irwin,C. Irwin,GK,64,64,300000,2000,32,191,88,Colorado Rapids,USA Major League Soccer,SUB,United States,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,16,24,44,54,60,33,76,34,65,63
Kasper Pedersen,K. Pedersen,CB,64,65,550000,1000,28,185,75,Stabæk Fotball,Norwegian Eliteserien,SUB,Denmark,,2,1,Low/High,,36,49,52,63,71,34,58,54,57,57,70,75,61,7,8
Jordan Alexander Houghton,J. Houghton,"CDM, CM",64,69,775000,3000,25,183,77,Plymouth Argyle,English League One,CM,England,,2,1,Medium/High,,51,61,60,59,69,55,64,61,58,59,72,70,63,12,15
Cristián Manuel Rojas Sanhueza,C. Rojas,"CB, CDM, CM",64,64,150000,750,35,174,74,CD Antofagasta,Chilian Campeonato Nacional,RES,Chile,,2,1,Medium/High,,34,48,49,65,71,40,52,45,49,46,71,67,77,14,11
Konrad Wrzesiński,K. Wrzesiński,RM,64,64,625000,3000,27,177,65,PGE FKS Stal Mielec,Polish T-Mobile Ekstraklasa,SUB,Poland,,3,1,High/Medium,,55,59,63,53,68,64,61,81,75,52,76,66,62,9,13
Anton Vladimirovich Mitryushkin,A. Mitryushkin,GK,64,69,675000,3000,25,189,79,SG Dynamo Dresden,German 2. Bundesliga,SUB,Russia,,1,1,Medium/Medium,,NA,NA,NA,NA,NA,11,19,41,31,57,25,68,33,67,64
Mitchell Bernard Pinnock,M. Pinnock,LM,64,65,700000,5000,26,190,69,Northampton Town,English League Two,LM,England,,3,1,Medium/Medium,,57,62,63,46,62,68,62,81,66,54,64,68,45,8,9
Ariel Elías Martínez Arce,A. Martínez,"CM, CAM",64,65,675000,1000,27,176,72,Unión La Calera,Chilian Campeonato Nacional,SUB,Chile,,3,1,High/Medium,,59,66,70,49,66,61,69,61,81,57,72,71,47,13,7
Scott Tanser,S. Tanser,"LWB, LB",64,66,675000,2000,26,182,70,St. Mirren,Scottish Premiership,LWB,England,,2,1,High/Medium,,52,60,63,56,55,65,61,73,70,59,69,56,30,10,15
Andrés Sebastián Robles Fuentes,A. Robles,CB,64,66,625000,1000,27,182,79,CD Antofagasta,Chilian Campeonato Nacional,RCB,Chile,,2,1,Medium/Medium,,42,55,56,62,75,37,60,46,64,55,66,84,64,8,11
Lucas Nahuel Kruspzky,L. Kruspzky,LB,64,64,525000,4000,29,175,71,Patronato,Argentina Primera División,LB,Argentina,,2,1,Medium/Medium,,32,49,57,61,63,51,58,75,69,58,70,60,59,9,8
Baily James Cargill,B. Cargill,"CB, LB",64,67,700000,4000,25,189,87,Forest Green Rovers,English League Two,LCB,England,,2,1,Medium/Medium,,34,59,57,63,75,63,54,55,58,59,79,82,58,7,9
Ismael Alberto Quílez,I. Quílez,"RB, RWB, RM",64,64,425000,3000,31,179,76,Club Atlético Huracán,Argentina Primera División,RB,Argentina,,2,1,Medium/Medium,,32,52,64,62,64,60,62,68,73,56,65,64,59,8,8
Lloyd Richard Jones,L. Jones,CB,64,68,725000,2000,25,191,78,Cambridge United,English League One,RCB,England,,2,1,Medium/Medium,,28,43,43,64,70,32,45,61,36,59,53,81,66,6,11
François Marquet,F. Marquet,"CM, CDM, CAM",64,67,750000,3000,26,173,71,FC U Craiova 1948,Romanian Liga I,SUB,Belgium,,2,1,Medium/Medium,,54,66,65,62,65,65,67,48,69,60,63,65,66,10,12
Matteo Fedele,M. Fedele,"CM, CDM",64,64,575000,4000,28,185,78,Universitatea Craiova,Romanian Liga I,SUB,Switzerland,,3,1,Medium/High,,62,63,62,59,79,63,62,65,68,65,84,82,65,15,12
Cameron Kerr,C. Kerr,"RB, LB",64,67,725000,2000,25,175,75,Dundee FC,Scottish Premiership,SUB,Scotland,,2,1,High/Medium,,29,52,61,59,71,60,59,76,75,59,75,73,67,11,11
Dawid Kort,D. Kort,"CM, CDM, CAM",64,66,725000,1000,26,176,65,PGE FKS Stal Mielec,Polish T-Mobile Ekstraklasa,SUB,Poland,,3,1,High/Medium,,60,63,67,50,53,53,67,66,71,66,70,39,59,9,16
Alexandru Nicolae Vlad,A. Vlad,"LB, LWB",64,64,425000,1000,31,174,70,FC Voluntari,Romanian Liga I,SUB,Romania,,2,1,Medium/Medium,,55,60,57,60,68,61,55,69,73,62,72,70,56,13,8
